,UserID,Age,Gender,Living,YearsOfMusicEducation,YearsOfInstrumentPlaying,MusicListeningPerDay,TakeMoodDrugs,UnderInfluenceOfDrugs
0,1,27,Male,Countryside,0,0,3,Yes,Yes
1,13,20,Female,Countryside,8,14,4,No,No
2,86,50,Male,Countryside,0,0,3,No,No
3,124,23,Female,City,5,0,2,No,No
4,207,23,Male,City,0,0,4,No,No
5,229,25,Female,Countryside,6,10,2,No,No
6,249,22,Female,City,0,0,2,No,No
7,253,19,Male,City,2,5,2,No,No
8,268,23,Male,Countryside,0,0,2,No,No
9,376,24,Female,Countryside,0,2,4,No,No
10,385,28,Male,Countryside,18,20,4,No,No
11,404,21,Female,Countryside,1,1,4,No,No
12,491,58,Male,City,2,0,1,No,No
13,503,28,Male,City,10,14,2,No,No
14,506,27,Female,City,0,0,4,No,No
15,513,32,Female,Countryside,0,0,1,No,No
16,616,20,Female,City,0,0,4,No,No
17,665,26,Female,City,9,14,3,No,No
18,714,47,Female,City,10,20,1,No,No
19,738,21,Female,Countryside,0,10,2,Yes,No
20,834,20,Female,Countryside,0,0,3,No,No
21,851,21,Male,Countryside,0,0,2,No,No
22,860,23,Male,City,5,16,3,No,No
23,937,28,Female,City,0,0,3,No,No
24,959,26,Female,City,0,2,4,No,No
25,1006,20,Female,Countryside,1,2,4,No,No
26,1015,20,Female,Countryside,8,0,1,No,No
27,1189,25,Female,City,12,12,2,No,No
28,1248,22,Female,City,3,3,1,No,No
29,1337,23,Female,City,6,15,3,No,No
30,5,24,Male,Countryside,6,11,2,No,No
31,11,21,Male,Countryside,0,0,2,No,No
32,19,26,Male,City,0,0,4,No,No
33,24,23,Male,Countryside,0,0,4,No,No
34,41,20,Female,City,0,0,2,No,No
35,60,34,Male,Countryside,0,0,2,No,No
36,80,22,Female,City,7,10,4,No,No
37,108,48,Female,City,0,0,1,No,No
38,197,40,Male,City,0,0,1,No,No
39,214,28,Male,City,11,20,1,No,No
40,227,22,Female,City,0,0,1,No,No
41,316,18,Male,Countryside,0,0,2,No,No
42,382,42,Female,City,8,6,2,No,No
43,463,21,Male,Countryside,7,6,2,No,No
44,535,52,Male,City,10,10,4,No,No
45,607,20,Female,Countryside,0,0,1,Yes,No
46,610,26,Female,City,4,10,2,No,No
47,636,33,Female,City,0,20,1,No,No
48,734,34,Female,City,7,0,1,No,No
49,827,23,Female,City,11,15,1,No,No
50,866,25,Female,Countryside,3,0,1,No,No
51,910,24,Female,Countryside,6,8,3,No,No
52,932,31,Male,Countryside,4,20,4,No,No
53,1011,32,Male,City,0,17,2,No,No
54,1054,40,Male,City,0,0,4,No,No
55,1106,21,Female,City,10,12,2,No,No
56,1198,28,Male,City,2,10,4,No,No
57,1236,19,Female,Countryside,2,3,2,No,No
58,1244,20,Male,City,1,3,4,No,No
59,1293,41,Male,City,6,20,1,No,Yes
60,1333,22,Male,City,0,0,3,No,No
61,1338,44,Male,City,2,0,4,No,No
62,1382,18,Female,Countryside,12,14,1,No,No
63,30,27,Female,City,16,20,4,No,No
64,32,24,Female,City,0,1,4,No,No
65,87,19,Male,Countryside,0,19,4,No,No
66,98,26,Female,City,20,20,2,No,No
67,142,23,Female,Countryside,0,0,1,No,No
68,178,26,Male,City,8,18,4,No,No
69,247,36,Male,City,0,0,4,No,No
70,265,60,Female,City,7,7,2,No,No
71,279,20,Female,City,2,0,3,No,No
72,332,20,Female,City,5,0,4,No,No
73,381,23,Female,Countryside,0,0,3,No,No
74,455,40,Female,City,0,0,4,No,No
75,483,17,Male,Countryside,2,5,4,No,No
76,494,23,Male,City,2,5,4,No,No
77,519,19,Male,Countryside,0,4,2,No,No
78,558,20,Female,Countryside,0,0,2,No,No
79,559,27,Female,City,0,0,4,No,No
80,628,26,Female,City,6,15,1,Yes,Yes
81,733,30,Male,City,0,0,2,No,No
82,749,19,Female,Countryside,0,0,4,Yes,No
83,750,22,Female,City,9,15,1,No,No
84,769,23,Female,City,0,3,4,No,No
85,811,23,Female,Countryside,0,0,1,No,No
86,876,22,Male,Countryside,0,5,2,Yes,No
87,879,20,Female,City,0,0,1,No,No
88,888,29,Female,City,6,20,4,No,No
89,902,19,Male,Countryside,6,10,1,No,No
90,939,23,Female,City,8,18,4,Yes,No
91,1046,22,Female,Countryside,0,0,2,No,No
92,1062,23,Female,Countryside,0,0,3,No,No
93,1095,28,Female,City,6,6,4,Yes,No
94,1135,23,Female,Countryside,11,15,1,No,No
95,1160,24,Female,Countryside,0,0,3,No,No
96,1210,20,Female,City,0,0,3,No,No
97,1231,24,Female,Countryside,3,0,4,No,No
98,26,22,Female,City,5,4,3,No,No
99,43,31,Female,City,6,10,2,No,No
100,209,23,Female,City,0,0,4,No,No
101,213,22,Female,City,8,13,3,No,No
102,224,23,Male,City,6,14,1,No,No
103,244,22,Female,City,0,0,1,No,No
104,246,21,Male,City,9,13,1,No,No
105,260,30,Female,City,0,0,2,No,No
106,262,38,Female,Countryside,2,0,1,No,No
107,323,24,Male,City,12,16,2,No,No
108,356,23,Male,City,0,0,2,No,No
109,378,24,Female,City,13,13,2,No,No
110,408,25,Female,City,0,0,1,No,No
111,411,20,Male,Countryside,0,0,2,No,No
112,413,21,Female,City,0,0,4,No,No
113,445,25,Female,City,13,13,3,No,No
114,464,44,Female,City,9,0,4,No,No
115,502,37,Female,City,0,0,1,No,No
116,599,20,Female,Countryside,0,0,2,No,No
117,612,20,Female,City,4,4,2,No,No
118,718,24,Female,City,3,0,4,No,No
119,720,20,Female,City,0,0,1,No,No
120,772,27,Female,City,4,0,3,No,No
121,790,20,Female,Countryside,6,12,1,No,No
122,817,32,Male,Countryside,1,8,1,No,No
123,911,25,Male,Countryside,0,1,4,No,No
124,951,23,Female,Countryside,6,8,4,No,No
125,957,26,Male,City,0,2,4,No,No
126,960,23,Female,Countryside,0,5,1,No,No
127,961,18,Female,City,0,0,3,No,No
128,975,25,Male,City,0,7,1,No,No
129,988,21,Female,Countryside,0,0,3,No,No
130,1141,22,Male,Countryside,0,0,1,No,No
131,1168,21,Male,Countryside,11,15,4,No,No
132,1197,32,Female,Countryside,7,20,4,No,No
133,1225,43,Male,Countryside,4,6,3,No,No
134,1357,20,Female,Countryside,0,0,2,No,No
135,1401,19,Male,City,0,0,2,No,No
136,4,25,Female,City,8,8,4,No,No
137,18,28,Female,City,0,0,2,No,No
138,71,25,Male,Countryside,2,8,2,No,No
139,109,43,Female,Countryside,7,7,1,No,No
140,127,28,Female,Countryside,0,0,4,No,No
141,154,19,Female,Countryside,0,14,3,No,No
142,210,17,Male,Countryside,0,0,2,No,No
143,216,24,Male,Countryside,9,9,4,No,No
144,230,22,Male,Countryside,2,6,1,No,No
145,293,22,Male,City,0,0,3,No,No
146,338,29,Male,City,0,0,2,No,No
147,350,46,Female,Countryside,12,20,4,No,No
148,418,20,Female,Countryside,6,0,2,No,No
149,467,22,Female,City,0,0,3,No,No
150,479,26,Female,City,2,0,4,No,No
151,554,23,Female,City,0,1,4,No,No
152,586,29,Male,City,12,12,1,No,No
153,617,45,Female,City,0,0,2,No,No
154,663,23,Male,City,4,10,1,No,No
155,677,21,Female,City,2,4,1,No,No
156,682,29,Female,City,2,9,3,No,No
157,706,40,Female,City,0,20,4,No,No
158,709,26,Male,Countryside,0,0,1,No,No
159,813,27,Female,City,0,0,1,No,No
160,846,19,Female,City,0,0,3,No,No
161,1002,26,Female,City,0,0,3,No,No
162,1033,42,Female,City,0,0,4,No,No
163,1036,26,Female,Countryside,18,17,2,No,No
164,1039,33,Female,City,2,0,1,No,No
165,1055,20,Female,City,9,10,1,No,No
166,1167,24,Female,City,10,10,2,No,No
167,1169,21,Male,Countryside,3,8,3,No,Yes
168,1171,22,Female,Countryside,0,0,2,No,No
169,1180,21,Female,Countryside,12,15,3,No,No
170,1188,25,Male,City,0,0,2,No,No
171,1206,23,Male,City,0,5,3,No,No
172,1255,20,Female,Countryside,0,0,2,No,No
173,1264,22,Female,City,6,16,3,No,No
174,1316,45,Male,City,0,15,2,No,No
175,1392,27,Male,City,0,6,3,No,Yes
176,3,21,Male,City,7,10,3,No,No
177,91,26,Female,City,0,0,4,No,No
178,140,26,Female,Countryside,0,0,1,No,No
179,149,34,Male,City,0,0,2,No,No
180,189,29,Male,City,10,20,2,No,No
181,206,21,Female,City,1,0,3,Yes,No
182,208,21,Female,Countryside,0,0,2,No,No
183,251,27,Female,City,3,3,2,No,No
184,281,20,Male,Countryside,0,1,4,Yes,No
185,380,27,Male,City,0,0,2,No,No
186,421,31,Female,City,8,0,2,No,No
187,458,36,Female,City,0,8,4,No,No
188,461,23,Female,City,0,0,4,No,No
189,531,33,Male,City,0,15,1,No,No
190,580,19,Female,City,8,8,3,No,No
191,595,20,Male,City,0,7,2,No,No
192,634,24,Male,City,2,12,2,No,No
193,895,19,Female,City,3,12,4,No,No
194,972,25,Female,City,8,15,4,No,No
195,974,20,Male,City,6,6,2,No,No
196,1035,36,Male,City,1,2,4,Yes,Yes
197,1068,25,Female,Countryside,6,0,1,No,No
198,1098,27,Male,City,0,3,4,No,No
199,1100,23,Female,Countryside,3,5,1,No,No
200,1186,33,Male,Countryside,8,15,4,No,No
201,1219,24,Male,City,0,0,4,No,No
202,1252,19,Female,City,0,0,2,No,No
203,1260,21,Female,City,0,0,3,Yes,Yes
204,1285,34,Female,City,0,0,3,No,No
205,1383,27,Male,City,7,14,2,No,No
206,31,20,Male,Countryside,12,12,4,No,No
207,53,22,Male,City,0,0,2,No,No
208,82,21,Female,City,8,13,3,No,No
209,135,28,Female,City,11,11,3,No,No
210,185,21,Female,City,0,0,3,No,No
211,201,25,Female,City,0,0,2,No,No
212,250,24,Male,Countryside,0,0,4,No,No
213,329,64,Male,Countryside,0,0,4,No,No
214,388,41,Male,City,1,0,3,No,No
215,426,26,Male,City,0,0,2,No,No
216,452,26,Male,City,0,0,1,No,No
217,518,27,Male,City,0,10,4,No,No
218,522,22,Male,City,10,14,2,No,No
219,582,20,Female,Countryside,0,0,3,No,No
220,604,19,Female,Countryside,8,10,1,No,No
221,727,24,Female,City,9,14,1,No,No
222,775,48,Female,City,7,20,3,No,No
223,809,20,Female,City,0,0,4,No,No
224,818,23,Female,City,0,9,4,No,No
225,840,23,Female,Countryside,6,17,3,No,No
226,936,26,Female,Countryside,5,10,4,No,No
227,976,20,Male,Countryside,6,6,2,No,No
228,1116,22,Male,City,3,10,4,No,No
229,1137,21,Male,Countryside,6,0,4,No,No
230,1145,34,Male,City,10,20,2,No,No
231,1205,25,Male,City,3,17,4,No,No
232,1212,48,Female,Countryside,11,20,4,No,No
233,1215,39,Male,Countryside,7,20,1,No,No
234,1227,42,Female,City,0,0,2,No,No
235,1319,24,Male,City,6,10,3,No,No
236,1366,28,Female,City,6,10,3,No,No
237,55,24,Male,City,6,15,4,Yes,Yes
238,144,47,Male,City,0,20,1,No,No
239,238,21,Female,City,6,6,2,No,No
240,307,23,Female,Countryside,2,0,2,Yes,No
241,317,22,Female,City,0,0,2,No,No
242,456,29,Female,City,0,0,1,No,No
243,543,20,Female,City,0,13,4,No,No
244,566,22,Female,City,2,2,2,No,Yes
245,603,26,Male,Countryside,0,3,2,No,No
246,647,30,Female,City,10,15,4,No,No
247,649,24,Female,City,0,8,3,No,No
248,689,23,Female,City,0,7,1,No,No
249,696,48,Male,City,0,0,1,No,No
250,823,16,Female,Countryside,6,7,3,No,No
251,862,24,Female,City,8,10,3,No,No
252,883,24,Female,Countryside,6,14,1,No,No
253,900,22,Female,City,11,14,1,No,No
254,919,19,Female,Countryside,0,0,4,No,No
255,973,19,Male,Countryside,9,11,4,No,No
256,1020,28,Female,City,5,20,1,No,No
257,1032,29,Male,City,0,1,1,No,No
258,1193,31,Female,City,9,20,3,No,No
259,1325,26,Male,City,0,0,3,No,No
260,1348,20,Female,Countryside,5,6,1,No,No
261,2,22,Female,Countryside,7,15,4,No,No
262,138,23,Female,City,7,17,1,No,No
263,161,27,Male,City,0,1,4,No,No
264,171,22,Male,Countryside,7,12,2,No,No
265,218,30,Male,City,0,0,1,No,No
266,241,20,Female,Countryside,6,7,1,No,No
267,261,24,Female,Countryside,0,0,4,No,No
268,275,22,Female,Countryside,5,0,2,No,No
269,286,20,Female,City,0,0,1,No,No
270,300,26,Female,Countryside,0,12,2,No,No
271,361,52,Male,City,0,0,1,No,No
272,400,22,Male,City,0,3,4,No,No
273,432,48,Female,City,8,0,2,No,No
274,569,27,Male,City,8,20,3,No,No
275,637,61,Female,City,0,0,1,No,No
276,669,21,Male,City,0,5,4,No,No
277,671,21,Female,Countryside,9,12,3,No,No
278,691,26,Female,Countryside,3,0,2,No,No
279,759,27,Female,City,0,0,2,No,No
280,773,21,Female,City,6,0,3,No,No
281,795,20,Female,Countryside,0,13,3,No,No
282,867,21,Male,City,0,0,3,No,No
283,925,24,Female,Countryside,0,0,2,No,No
284,1094,22,Female,City,0,0,1,Yes,Yes
285,1099,22,Female,City,1,0,2,No,No
286,1138,38,Female,City,0,7,1,No,No
287,1154,45,Male,City,4,20,2,Yes,Yes
288,1159,17,Female,City,8,7,3,No,No
289,1275,23,Female,City,3,0,4,No,No
290,1289,19,Male,City,0,0,2,No,No
291,1353,23,Male,City,0,0,2,No,No
292,97,30,Female,City,10,20,2,No,No
293,143,21,Male,City,11,15,2,No,No
294,175,18,Male,Countryside,0,0,2,No,No
295,195,29,Female,City,7,13,1,Yes,No
296,298,33,Male,City,0,0,2,No,No
297,392,26,Female,Countryside,9,19,2,No,No
298,397,28,Male,Countryside,0,16,1,No,No
299,623,19,Female,Countryside,0,4,1,No,No
300,700,50,Female,City,0,0,4,No,No
301,705,36,Male,City,7,0,1,No,No
302,729,19,Female,City,8,12,4,No,No
303,745,21,Female,City,11,12,4,No,No
304,789,25,Female,City,12,14,3,No,No
305,1028,28,Male,Countryside,1,10,1,No,No
306,1067,36,Male,Countryside,0,0,1,No,No
307,1091,22,Female,Countryside,6,11,2,No,No
308,1096,33,Female,Countryside,0,0,1,No,No
309,1122,21,Female,Countryside,0,0,1,No,No
310,1295,21,Female,City,0,2,4,No,No
311,40,28,Female,City,0,0,4,No,No
312,174,21,Female,City,0,2,3,No,No
313,258,26,Female,City,0,0,2,No,No
314,284,24,Male,City,0,8,4,No,No
315,438,30,Female,City,0,0,4,No,No
316,460,36,Male,City,0,4,2,No,No
317,555,24,Female,City,0,0,2,No,No
318,557,20,Female,City,8,11,3,No,No
319,608,20,Female,Countryside,2,2,4,No,No
320,644,20,Female,Countryside,12,12,2,No,No
321,646,22,Female,City,10,17,1,No,No
322,710,21,Female,City,5,6,2,No,No
323,760,22,Female,City,0,0,4,No,No
324,794,23,Female,City,5,5,1,No,No
325,913,20,Female,City,0,12,1,No,No
326,966,20,Male,City,0,0,2,No,No
327,1031,22,Female,City,5,5,1,No,No
328,1061,27,Female,City,8,0,2,No,No
329,1074,25,Female,City,0,16,4,No,No
330,1081,31,Female,Countryside,12,20,4,No,No
331,1085,19,Male,City,6,0,4,No,No
332,1112,21,Female,Countryside,0,0,1,No,No
333,1176,31,Female,City,2,3,3,No,No
334,1200,22,Female,Countryside,2,3,2,No,No
335,1280,23,Female,City,0,0,1,No,No
336,1356,26,Male,Countryside,0,0,3,No,No
337,1381,19,Male,City,0,3,3,Yes,Yes
338,37,26,Female,Countryside,0,15,2,No,No
339,72,22,Male,City,8,12,3,No,No
340,84,51,Male,City,8,20,2,No,No
341,165,27,Male,Countryside,0,8,2,No,No
342,242,22,Male,City,0,8,2,No,No
343,334,28,Female,Countryside,9,20,4,No,No
344,352,24,Female,City,4,0,3,No,No
345,379,28,Female,Countryside,8,20,2,No,No
346,393,25,Female,City,0,0,3,No,No
347,396,23,Female,City,1,0,2,No,No
348,412,24,Female,City,0,3,3,No,No
349,492,22,Female,Countryside,6,0,3,No,No
350,521,28,Female,City,0,0,1,No,No
351,549,47,Female,City,0,0,2,No,No
352,631,46,Female,Countryside,0,4,4,No,No
353,655,24,Male,City,7,7,1,Yes,Yes
354,668,25,Female,City,0,0,3,No,No
355,783,25,Female,City,1,0,3,No,No
356,855,23,Female,City,0,0,3,No,No
357,861,20,Female,City,0,0,1,No,No
358,934,26,Male,City,1,1,3,No,No
359,967,25,Male,City,7,8,3,No,No
360,971,21,Female,City,11,12,2,No,No
361,1114,25,Female,City,12,14,3,No,No
362,1124,18,Female,City,0,0,1,No,No
363,1128,25,Female,City,4,8,2,No,No
364,1209,27,Female,City,1,1,2,No,No
365,1233,25,Male,City,0,0,4,No,No
366,1360,26,Male,City,7,0,2,No,No
367,1362,27,Male,City,0,0,3,No,No
368,1377,22,Female,Countryside,8,15,2,No,No
369,48,23,Male,City,0,0,3,No,No
370,190,25,Female,Countryside,8,6,3,No,No
