,UserID,CurrentMoodV,CurrentMoodA,H,S,V,Active,WideAwake,Drowsy,Inactive,Miserable,Discontent,Disappointed,Relaxed,Happy,Tired,Cheerful,Joyous,Satistfied,Sleepy,Sad,Calm,Angry
0,1,0.8885,0.8262,0.825,0.5,1,0.8914,0.6071,0.0514,0.0314,0.03,0.0129,0.0157,0.7343,0.9443,0.34,0.8843,0.6114,0.93,0.0343,0.18,0.5086,0.08
1,13,0.4754,-0.1639,0.366666666666667,1,1,0.7129,0.6571,0.2786,0.2971,0.0457,0.0243,0.0429,0.6129,0.6586,0.13,0.5686,0.5086,0.5329,0.2786,0.0157,0.9514,0.0214
2,86,0.6393,0.7279,0.641666666666667,1,1,0.6757,0.7657,0.1486,0.0357,0.5014,0.6043,0.55,0.5643,0.4986,0.32,0.5571,0.6329,0.4686,0.1357,0.3914,0.4714,0.5543
3,124,-0.0033,-0.1639,0.641666666666667,0.5,1,0.0543,0.1843,0.9429,0.93,0.0571,0.1229,0.1,0.5971,0.5871,0.7714,0.14,0.5129,0.7643,0.8671,0.0457,0.8414,0.1029
4,207,0.6525,0.3803,0.641666666666667,0.75,1,0.4557,0.8014,0.1314,0.4543,0.2114,0.0686,0.18,0.67,0.5543,0.2871,0.4943,0.5686,0.5357,0.2314,0.09,0.8271,0.1086
5,229,0.2787,-0.177,0.0916666666666667,0.75,1,0.3643,0.31,0.87,0.6871,0.1843,0.0971,0.1129,0.42,0.32,0.96,0.4029,0.5371,0.3943,0.9543,0.08,0.7443,0.2057
6,249,0.1279,-0.7738,0.733333333333333,0.75,1,0.0114,0.5,0.01,0.8571,0.0157,0.01,0.0457,0.5,0.02,0.0429,0.8871,0.0429,0.0229,0.0357,0.03,0.94,0.0371
7,253,0.541,-0.1508,0.366666666666667,0.75,1,0.4986,0.67,0.1143,0.2771,0.0229,0.0129,0.0143,0.75,0.7471,0.5029,0.3014,0.4986,0.5029,0.5029,0.0914,0.7286,0.0157
8,268,0.6393,-0.2557,0.275,0.75,1,0.6072,0.3715,0.7115,0.47,0.3029,0.0772,0.2543,0.5872,0.7386,0.9215,0.8329,0.7915,0.7672,0.5643,0.3529,0.7029,0.5957
9,376,0.6885,0.8525,0.183333333333333,1,1,0.9914,0.9914,0.72,0.01,0.1429,0.5614,0.2314,0.6529,0.7757,0.3486,0.4314,0.84,0.4743,0.67,0.0286,0.4443,0.8857
10,385,-0.0852,-0.3475,0.733333333333333,0.75,1,0.34,0.4829,0.6943,0.6086,0.2672,0.6743,0.5286,0.8557,0.5872,0.9472,0.3915,0.4072,0.4986,0.93,0.54,0.8315,0.1072
11,404,0.5869,0.5902,0.55,0.75,1,0.8457,0.45,0.5657,0.06,0.15,0.1871,0.0443,0.8543,0.4557,0.5357,0.4014,0.7557,0.5757,0.5329,0.0557,0.7843,0.0329
12,491,0.6131,0.7053,0.183333333333333,0.75,1,0.74,0.6457,0.05,0.0886,0.0343,0.02,0.0214,0.5843,0.5443,0.0629,0.7586,0.6771,0.86,0.0486,0.0357,0.5914,0.0686
13,503,-0.0459,-0.8459,0.641666666666667,1,1,0.1229,0.6557,0.1172,0.8829,0.3557,0.32,0.8443,0.4515,0.2172,0.4343,0.3457,0.0972,0.13,0.1372,0.75,0.4843,0.3529
14,506,0.141,-0.1508,0.55,0.75,1,0.5029,0.6386,0.2029,0.1772,0.0615,0.15,0.03,0.6286,0.5143,0.8429,0.6572,0.5,0.5029,0.41,0.0143,0.46,0.0172
15,513,0.141,-0.4393,0.641666666666667,0.5,1,0.4457,0.7429,0.1615,0.6043,0.3329,0.2529,0.1672,0.2172,0.0886,0.5757,0.4215,0.3229,0.4172,0.0472,0.1586,0.2157,0.0043
16,616,0.5934,-0.6689,0.0916666666666667,0.75,1,0.2157,0.0786,0.8614,0.8514,0.0271,0.2743,0.0929,0.78,0.8271,0.9557,0.4986,0.6671,0.6957,0.8729,0.2971,0.9086,0.0657
17,665,0.318,-0.2557,0.641666666666667,0.5,1,0.5014,0.4157,0.6271,0.6829,0.2314,0.1371,0.1686,0.7543,0.4529,0.6929,0.2786,0.3571,0.3557,0.7914,0.2786,0.8486,0.0343
18,714,0.6984,0.2557,0.641666666666667,0.75,1,0.8929,0.9114,0.0886,0.5571,0.0314,0.1571,0.0586,0.9157,0.88,0.0829,0.77,0.8214,0.8514,0.2343,0.1043,0.9329,0.0386
19,738,0.718,0.2361,0.458333333333333,0.75,1,0.8843,0.8129,0.0186,0.1929,0.3814,0.5486,0.59,0.0914,0.3443,0.0243,0.8129,0.5971,0.5029,0.0329,0.5571,0.16,0.4014
20,834,0.4295,-0.6361,0.916666666666667,0.75,1,0.6515,0.9029,0.0143,0.0629,0.0572,0.0329,0.0886,0.8215,0.5872,0.0672,0.6686,0.5886,0.8,0.0472,0.1143,0.7786,0.2386
21,851,0.5344,-0.4721,0.641666666666667,0.5,1,0.2543,0.6772,0.0886,0.5115,0.0486,0.1329,0.5543,0.0257,0.3657,0.7843,0.51,0.2343,0.3586,0.1229,0.2286,0.6129,0.04
22,860,0.1869,-0.6557,0.366666666666667,0.75,1,0.0957,0.53,0.0929,0.8243,0.5514,0.23,0.2514,0.7471,0.5186,0.0857,0.3829,0.5143,0.5129,0.2371,0.1843,0.8129,0.0257
23,937,0.5738,-0.2033,0.733333333333333,0.75,1,0.3786,0.6229,0.7771,0.8057,0.0371,0.1457,0.0671,0.9486,0.2243,0.5914,0.4086,0.2971,0.7029,0.5086,0.2271,0.9629,0.0214
24,959,0.7902,0.6426,0.0916666666666667,1,1,0.8486,0.5057,0.3157,0.07,0.0543,0.0472,0.0215,0.8729,0.9343,0.4857,0.93,0.71,0.8315,0.3086,0.02,0.9415,0.0486
25,1006,0.6459,0.6361,0.0916666666666667,0.5,1,0.7571,0.8229,0.17,0.11,0.0657,0.0829,0.02,0.6857,0.7,0.1257,0.7071,0.7014,0.7071,0.2914,0.0329,0.7843,0.0171
26,1015,-0.6,-0.5115,0.0916666666666667,0.5,1,0.4243,0.2471,0.49,0.79,0.6414,0.8857,0.5071,0.0714,0.3343,0.6814,0.4257,0.3957,0.4614,0.2343,0.5729,0.3543,0.0943
27,1189,-0.0656,0.7016,0.0916666666666667,0.75,1,0.6857,0.0543,0.5457,0.16,0.4543,0.2229,0.1286,0.0314,0.4114,0.6243,0.2843,0.36,0.1,0.5,0.3514,0.1271,0.1629
