,UserID,FearV,FearA,EnergeticV,EnergeticA,AngerV,AngerA,RelaxedV,RelaxedA,HappinessV,HappinessA,SadnessV,SadnessA,LivelinessV,LivelinessA,JoyV,JoyA,DisappointmentV,DisappointmentA,DiscontentV,DiscontentA
0,1,-0.6164,-0.1049,0.8197,0.9574,0.2885,0.2033,0.4197,0.5377,0.682,-0.2623,-0.8918,0.5443,0.8328,0.7016,0.9443,0.4918,-0.5049,0.3016,-0.8918,0.8131
1,13,-0.6295,0.2361,0.8197,0.859,-0.5639,0.7344,0.9311,0.1246,0.9377,-0.0721,-0.682,-0.0721,0.8852,0.9443,0.977,0.9836,-0.2033,0.0984,-0.0787,0.0787
2,86,,,-0.3607,0.7738,,,0.5902,-0.6492,0.7869,0.2623,-0.9836,-0.7934,0.1705,0.9508,0.6361,0.6885,-0.7541,0.3148,0.3672,0.5049
3,124,-0.9836,0.918,0.7213,0.8,-0.2689,0.9246,0.977,-0.3803,0.9049,-0.0918,-0.8066,-0.8459,0.859,0.5705,0.7803,0.2885,-0.9049,-0.6098,-0.2689,-0.3672
4,207,-0.7016,0.3475,0.282,0.8328,-0.4721,0.8393,0.3475,0.4262,0.5443,0.341,-0.459,-0.7607,0.5639,0.9443,0.7213,0.7016,-0.1049,-0.0918,-0.6098,-0.3803
5,229,-0.9443,0.7279,0.5246,0.9574,-0.9508,-0.8262,,,0.9967,0.6951,-0.9443,0.2033,0.9115,0.4525,0.7082,-0.7475,-0.8328,0.9443,-0.9508,-0.5639
6,249,,,,,-0.9115,0.9639,0.3082,-0.8459,0.6098,0.1902,,,0.4,0.577,0.5311,0,-0.9115,0.3344,-0.9246,0.0656
7,253,-0.2361,0.3213,0.4721,0.3869,-0.7475,0.859,0.6033,-0.577,0.5443,-0.7607,-0.223,-0.3475,0.4656,0.2557,0.7279,0.0459,-0.459,-0.4131,-0.5311,-0.7213
8,268,-0.7148,-0.1967,0.1508,0.7738,-0.4197,-0.0393,,,0.3738,0.2885,-0.6098,-0.6361,0.1311,0.577,0.1508,-0.0721,-0.8393,-0.4066,-0.918,0.5639
9,376,-0.8918,-0.7475,0.2689,0.9639,-0.9377,-0.7672,0.9508,0.118,0.577,0.341,-0.9115,-0.5705,0.3607,0.9311,,,,,,
10,385,-0.741,-0.3738,0.4459,0.9967,,,0.6557,0.2689,0.8131,0.5311,-0.9967,-0.5246,0.7082,0.5705,0.7213,0.6033,-0.9836,-0.5443,-0.5705,-0.0131
11,404,-0.5246,0.3672,0.1902,0.9246,-0.9508,0.4525,0.7279,-0.1049,0.6295,0.7213,-0.4787,-0.2033,0.1705,0.7475,0.4197,0.8262,-0.8131,0.0721,-0.9705,0.2098
12,491,-0.8721,0.5115,0.5902,0.9639,-0.8656,0.8066,0.8328,-0.1705,0.8918,-0.0328,-0.918,-0.8328,0.8197,0.7869,0.8656,0.3344,-0.8984,-0.3016,-0.7803,-0.1115
13,503,-0.9049,0.3422,0.3803,0.9848,-0.8721,0.5586,0.9508,-0.4054,0.8918,0.9848,-0.6951,-0.9836,0.1574,0.9246,0.9115,0.9639,-0.6098,-0.8197,-0.5049,-0.5377
14,506,-0.5902,0.2885,0.6754,0.4197,,,0.918,0.7934,0.9049,0.2361,-0.6164,0.6689,0.7082,0.6361,0.9574,0.8984,-0.4918,0.1377,-0.2951,-0.0131
15,513,-0.4197,-0.1299,0.1705,0.9979,,,0.1639,0.5258,0.9574,-0.9562,-0.859,-0.9967,0.8984,0.8852,0.3541,-0.5574,-0.9049,0.0262,-0.623,-0.5508
